Commit,Date,ReferenceObjectSize,JsonParserExample,JsonGeneratorExample,MsgPackParser,StringExample,ProgmemExample
v5.0-beta-5,2015-08-10,54,,,,,
v5.0-beta-4,2015-07-27,54,,,,,
v5.0-beta-3,2015-07-25,54,,,,,
v5.0-beta-2,2015-07-10,54,,,,,
v5.0-beta-1,2015-05-31,54,,,,,
v4.6.1,2015-08-02,54,,,,,
v4.6,2015-08-01,54,,,,,
v4.5,2015-06-10,54,,,,,
v4.4,2015-05-09,54,,,,,
v4.3,2015-05-03,54,,,,,
v4.2,2015-02-07,54,,,,,
v4.1,2014-12-21,54,,,,,
v4.0-beta-1,2014-11-11,54,,,,,
v4.0,2014-11-29,54,,,,,
v3.4,2014-09-09,,6582,,,,
v3.3,2014-09-01,,6530,,,,
v3.2,2014-08-04,,6530,,,,
v3.1,2014-08-03,,6530,,,,
v3.0,2014-07-23,,6530,,,,
v2.1,2014-07-15,,6182,,,,
v2.0,2014-07-09,,6308,,,,
v1.2,2014-03-03,,,,,,
v1.1,2014-02-27,,,,,,
,2014-01-23,,,,,,
